# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-11.61,95.37,-9.44,13.20,2.00,120.00
0.12,-11.68,95.43,-9.70,12.70,1.90,120.00
0.18,-11.74,95.44,-9.81,12.70,1.80,120.00
0.24,-11.67,95.50,-10.81,12.80,2.20,120.00
0.31,-12.14,94.91,-8.95,12.90,1.90,120.00
0.44,-11.43,95.48,-9.48,12.30,2.00,120.00
0.50,-11.38,96.27,-9.81,12.50,2.40,120.00
0.56,-10.19,95.33,-6.36,12.50,2.70,120.00
0.63,-9.73,95.43,-5.75,12.10,2.30,120.00
0.75,-9.66,95.17,-5.89,12.20,2.70,120.00
0.82,-10.30,95.59,-7.16,12.10,2.10,1.60
0.88,-10.86,95.79,-8.51,13.00,2.00,18.20
0.94,-11.16,95.61,-9.16,12.90,2.40,120.00
1.07,-11.03,95.79,-9.20,12.40,1.80,0.60
1.13,-11.01,95.54,-8.97,12.60,2.10,120.00
1.20,-11.66,96.29,-8.89,11.90,2.80,120.00
1.26,-10.99,99.54,-3.74,11.10,3.70,120.00
1.39,-10.74,96.51,8.84,11.20,2.70,9.70
1.45,-14.72,91.85,2.21,13.40,4.00,13.30
1.51,-11.69,99.68,-7.33,12.70,3.10,120.00
1.58,-11.28,95.35,-21.37,13.00,2.00,120.00
1.70,-10.99,95.28,-15.51,12.20,1.90,120.00
1.77,-9.28,95.74,-4.15,11.90,2.10,120.00
1.83,-12.26,94.12,-2.31,12.00,3.20,11.20
1.89,-10.56,92.93,8.54,11.90,3.00,10.00
2.02,-10.31,97.52,-15.78,13.30,2.30,120.00
2.09,-10.83,95.84,-22.28,12.50,2.10,120.00
2.15,-12.30,92.08,-28.14,11.00,1.90,120.00
2.21,-11.80,86.36,-9.41,9.50,2.60,120.00
2.34,-14.51,94.76,-4.08,8.80,3.30,9.70
2.40,-18.12,90.59,6.44,9.50,3.10,7.30
2.47,-19.45,93.16,4.32,10.70,3.00,7.00
2.53,-16.75,96.48,-12.47,11.80,3.20,120.00
2.66,-15.72,96.00,-12.54,11.20,3.10,7.30
2.72,-17.37,94.64,-9.61,12.00,3.50,7.70
2.79,-5.63,96.95,4.60,9.00,3.00,7.60
2.85,-13.81,93.62,0.65,11.00,2.80,7.00
2.98,-10.94,96.11,-8.28,10.60,2.50,7.10
3.04,-5.91,94.95,-7.39,11.60,2.20,9.70
3.11,-8.89,94.55,-22.64,13.30,1.50,120.00
3.17,-8.37,96.75,-12.45,12.30,2.00,6.90
3.30,-12.59,93.93,-0.87,12.30,2.60,6.20
3.36,-15.70,94.45,7.60,13.30,2.80,5.70
3.43,-7.13,95.76,-18.40,13.40,1.60,2.60
3.49,-12.63,94.78,-29.04,13.00,2.60,120.00
3.62,-12.50,95.58,-17.79,10.00,1.70,3.90
3.68,-11.46,98.53,-9.03,8.30,2.40,10.70
3.74,-9.20,93.49,-4.47,8.60,3.10,9.40
3.81,-16.53,94.60,-16.58,9.80,2.40,2.30
3.93,-14.79,92.88,-24.65,9.60,1.90,120.00
4.00,-12.51,94.54,-13.04,8.60,2.00,16.50
4.06,-13.31,98.38,-7.01,9.70,2.90,9.80
4.13,-14.34,91.75,-7.62,13.80,3.40,7.40
4.25,-11.22,96.01,-19.19,11.60,3.20,8.40
4.32,-9.03,98.72,-19.82,7.80,1.80,120.00
