# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-29.30,5.10,-38.00,25.20,6.80,12.00
0.06,0.00,0.00,-29.30,5.10,-38.00,24.90,6.30,11.80
0.13,0.00,0.00,-28.40,5.20,-38.90,24.80,6.60,11.80
0.19,0.00,0.00,-29.80,2.20,-38.60,25.30,7.00,11.90
0.25,0.00,0.00,-29.30,5.10,-39.20,25.70,6.30,11.90
0.32,0.00,0.00,-27.80,4.80,-40.50,24.80,6.80,11.40
0.38,0.00,0.00,-29.50,4.50,-40.10,25.90,6.60,12.00
0.45,0.00,0.00,-29.80,4.90,-37.80,25.00,6.60,11.70
0.51,0.00,0.00,-30.90,4.50,-40.10,24.90,6.50,12.10
0.57,0.00,0.00,-29.20,4.20,-39.60,25.50,6.60,11.70
0.64,0.00,0.00,-29.30,4.80,-39.20,25.30,6.60,11.50
0.70,0.00,0.00,-29.50,3.70,-39.60,25.20,6.90,11.60
0.77,0.00,0.00,-29.50,5.20,-38.90,25.20,6.70,11.80
0.83,0.00,0.00,-30.80,3.60,-39.50,24.30,7.00,12.20
0.89,0.00,0.00,-29.20,4.50,-38.90,25.10,6.60,11.40
0.96,0.00,0.00,-29.20,4.50,-38.90,24.50,6.90,11.70
1.02,0.00,0.00,-28.60,4.30,-39.20,24.20,6.90,12.00
1.08,0.00,0.00,-30.20,3.70,-38.90,25.10,6.30,12.40
1.15,0.00,0.00,-27.80,5.50,-40.20,24.80,6.40,12.00
1.21,0.00,0.00,-30.00,4.30,-37.70,25.60,6.60,11.80
1.27,0.00,0.00,-28.60,5.80,-39.20,25.20,6.50,11.80
1.34,0.00,0.00,-30.50,3.00,-38.60,24.20,6.20,11.80
1.46,0.00,0.00,-29.20,4.50,-38.90,23.80,6.70,12.00
1.53,0.00,0.00,-28.90,4.80,-38.00,26.10,6.70,11.50
1.59,0.00,0.00,-30.00,4.80,-38.00,24.40,6.20,11.60
1.65,0.00,0.00,-30.50,3.40,-39.30,25.80,6.50,11.50
1.72,0.00,0.00,-29.30,4.30,-38.40,25.30,6.70,11.60
1.78,0.00,0.00,-29.30,4.30,-38.40,24.00,6.60,11.70
1.84,0.00,0.00,-30.00,4.80,-39.50,25.30,7.00,11.70
1.91,0.00,0.00,-28.90,3.60,-38.70,25.40,6.70,11.70
1.97,0.00,0.00,-28.60,5.80,-39.80,25.50,6.60,12.00
2.04,0.00,0.00,-28.60,5.80,-39.80,24.00,6.40,12.00
2.10,0.00,0.00,-28.70,4.50,-39.30,25.30,6.30,11.80
