# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-67.24,16.06,77.66,30.00,20.50,40.50
0.05,-63.89,23.14,74.54,31.90,21.10,39.70
0.18,-63.34,22.95,73.32,31.60,22.10,39.40
0.25,-63.45,20.77,77.56,30.20,26.80,40.20
0.31,-62.52,18.40,77.31,29.40,7.70,39.20
0.44,-62.58,15.24,77.04,29.30,13.40,38.50
0.50,-62.48,22.08,75.59,30.10,20.70,39.20
0.56,-64.39,26.14,72.74,30.70,21.70,40.40
0.63,-64.29,25.07,72.61,30.60,22.30,40.60
0.75,-66.23,18.87,73.20,28.80,23.50,40.80
0.82,-67.46,18.32,72.64,27.80,26.90,40.00
0.88,-67.49,16.33,70.27,27.50,25.40,41.60
0.95,-66.74,37.41,56.41,120.00,11.60,41.50
1.07,-71.50,34.97,61.52,34.90,13.30,40.90
1.14,-72.47,32.49,60.65,32.00,14.90,41.70
1.20,-73.35,20.13,62.72,28.00,24.10,41.40
1.26,-75.85,24.03,60.73,31.00,21.80,39.90
1.39,-76.02,27.97,53.19,52.00,13.40,40.50
1.45,-75.73,40.71,51.78,34.40,13.50,40.20
1.51,-77.22,33.59,54.95,29.30,15.80,40.10
1.58,-76.57,28.33,56.21,30.40,18.60,40.50
1.71,-77.14,22.38,59.44,29.10,22.60,39.10
1.77,-76.84,20.79,60.35,29.30,22.10,39.30
1.83,-77.22,20.48,61.68,29.20,20.10,40.40
1.90,-74.71,12.57,64.06,29.00,12.50,39.00
2.02,-77.59,20.94,58.74,30.60,7.90,39.90
2.09,-80.91,19.30,56.40,31.90,6.50,40.50
2.15,-77.12,36.27,50.96,36.40,13.50,40.80
2.21,-79.06,33.75,49.96,32.40,14.60,39.80
2.34,-78.23,32.78,51.42,30.30,13.70,39.90
2.40,-83.01,35.47,50.46,31.50,17.20,39.70
2.47,-78.09,28.06,52.87,29.30,19.80,41.00
2.53,-80.44,25.95,53.14,29.50,18.60,40.40
2.66,-78.12,34.41,47.87,34.00,14.60,41.00
2.72,-81.77,30.51,45.04,120.00,10.70,40.80
2.78,-80.46,42.09,44.39,120.00,11.20,40.20
2.91,-77.23,40.86,45.62,28.80,13.00,38.90
2.98,-79.61,31.58,50.86,33.20,15.30,40.00
3.04,-73.52,43.20,45.19,33.80,14.90,40.40
3.10,-83.22,27.40,44.25,120.00,10.70,41.10
3.23,-88.78,28.47,45.64,116.80,11.80,40.40
3.29,-80.65,42.18,41.91,120.00,13.60,41.00
