# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.21,-96.12,40.25,10.30,120.00,3.10
0.12,1.10,-96.01,40.24,10.00,120.00,2.80
0.18,1.21,-96.12,40.34,10.70,120.00,3.00
0.24,1.23,-96.16,40.25,10.60,120.00,2.70
0.31,1.28,-96.01,40.23,10.80,120.00,3.00
0.43,1.34,-96.14,40.22,10.80,3.40,2.60
0.50,1.17,-96.06,40.36,10.70,120.00,2.40
0.56,1.20,-96.14,40.28,10.30,120.00,2.20
0.62,1.21,-96.05,40.23,10.80,120.00,2.30
0.75,1.21,-95.96,40.27,10.40,120.00,2.70
0.81,0.69,-93.20,41.78,10.30,120.00,2.70
0.88,2.07,-97.44,38.58,10.70,120.00,3.00
0.94,1.41,-96.42,39.75,10.10,120.00,2.90
1.07,0.78,-95.14,40.24,10.30,126.70,2.90
1.13,1.54,-97.47,37.71,10.50,64.30,2.70
1.19,1.84,-100.45,34.66,10.70,120.00,2.50
1.26,-1.38,-96.82,37.05,11.10,120.00,2.70
1.39,0.34,-93.45,41.02,10.20,120.00,2.40
1.45,1.74,-98.67,35.62,10.60,120.00,3.20
1.51,0.51,-96.75,34.50,10.80,120.00,2.80
1.58,0.90,-100.60,36.75,10.70,120.00,2.60
1.70,-13.42,-96.30,32.36,10.60,120.00,2.40
1.77,-15.21,-99.41,26.32,10.90,120.00,2.50
1.83,-8.90,-101.95,32.66,10.80,120.00,2.40
1.89,-12.20,-95.29,38.56,11.10,120.00,2.60
2.02,-8.11,-82.84,48.72,11.20,3.70,2.90
2.09,-16.76,-102.99,26.43,10.50,120.00,1.90
2.15,-9.24,-104.15,18.99,10.50,120.00,2.40
2.21,-9.59,-102.03,19.17,10.80,14.90,2.60
2.34,-11.55,-105.62,19.64,11.20,120.00,2.70
2.40,-10.77,-97.56,37.16,11.10,120.00,2.50
2.46,-12.34,-82.39,45.53,10.40,120.00,2.50
2.53,-14.32,-101.65,30.54,10.90,120.00,2.10
2.66,-8.13,-103.23,23.81,10.50,120.00,2.70
2.72,-8.67,-104.25,22.91,9.90,120.00,2.30
2.78,-15.88,-97.68,26.73,10.60,120.00,2.60
2.85,-11.48,-98.99,35.26,10.40,5.70,2.30
2.97,-10.66,-99.03,33.17,10.60,120.00,2.20
3.04,-10.11,-97.74,33.74,10.20,120.00,2.60
3.10,-9.99,-97.80,33.75,10.70,120.00,2.10
3.16,-10.05,-97.85,33.74,10.50,120.00,1.90
3.29,-10.12,-97.85,33.95,10.80,120.00,2.00
3.36,-10.17,-97.79,33.97,10.50,120.00,1.80
3.42,-10.14,-97.72,33.92,10.60,120.00,2.50
3.48,-11.77,-95.77,36.23,10.30,98.80,3.00
3.61,-9.77,-98.08,33.71,10.80,120.00,2.20
3.68,-10.15,-97.88,34.05,10.30,120.00,2.20
3.74,-10.13,-97.84,34.00,10.50,120.00,2.80
3.80,-10.13,-97.83,34.02,10.70,0.00,2.40
3.93,-10.22,-97.73,33.93,10.90,120.00,2.30
3.99,-10.11,-97.80,33.88,10.60,120.00,2.20
4.06,-10.15,-97.78,34.06,10.60,70.20,2.70
4.12,-10.16,-97.78,33.98,11.30,120.00,2.10
4.25,-3.83,-101.45,35.30,10.40,120.00,1.90
4.31,-12.67,-96.50,32.73,11.20,120.00,2.10
4.38,-10.06,-100.98,27.35,10.50,120.00,2.00
4.44,-8.31,-101.20,25.01,10.20,120.00,2.20
4.57,-12.16,-96.48,30.14,10.10,120.00,2.80
4.63,-8.00,-98.74,30.73,10.20,120.00,2.60
4.70,-8.48,-99.21,29.91,10.80,120.00,3.00
