# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,4.86,-40.19,94.31,30.10,120.00,16.40
0.12,1.97,-51.34,87.54,24.80,120.00,11.10
0.19,11.22,-90.05,38.57,7.60,120.00,6.10
0.25,18.11,-80.57,53.64,5.10,120.00,5.90
0.38,10.39,-91.52,55.02,5.00,120.00,5.00
0.44,14.65,-82.41,42.24,3.20,120.00,4.20
0.51,19.70,-75.28,48.72,4.60,120.00,2.10
0.57,23.51,-102.00,65.64,4.10,120.00,2.30
0.69,31.29,-84.24,40.68,1.50,120.00,2.20
0.76,4.53,-84.91,45.01,1.60,120.00,2.20
0.82,4.58,-105.99,24.95,1.70,120.00,0.80
0.88,1.82,-105.53,11.76,1.40,120.00,1.60
1.01,-1.28,-102.75,13.25,1.40,120.00,1.40
1.07,2.31,-102.80,20.40,1.80,120.00,1.80
1.14,8.62,-99.95,26.42,2.20,116.80,1.50
1.20,7.37,-100.35,26.56,1.70,120.00,1.30
1.33,6.95,-100.44,26.67,1.40,120.00,1.10
1.39,6.85,-100.45,26.48,1.80,120.00,1.70
1.46,6.75,-100.41,26.57,1.60,29.60,1.40
1.52,6.67,-100.37,26.59,1.70,10.20,1.30
1.65,6.56,-100.38,26.56,1.60,0.00,1.10
1.71,6.62,-100.42,26.65,1.80,120.00,1.30
1.78,6.62,-100.38,26.60,2.20,120.00,1.10
1.84,5.21,-100.49,22.58,1.80,120.00,2.30
1.97,14.76,-101.75,23.53,1.40,120.00,2.30
2.03,10.44,-110.58,13.78,2.50,120.00,1.50
2.09,6.14,-85.38,34.55,1.90,120.00,1.50
2.15,6.73,-110.37,17.90,1.80,87.50,2.00
2.28,5.80,-101.53,22.47,2.70,120.00,1.80
2.35,6.54,-90.99,32.26,1.70,120.00,1.50
2.41,2.78,-102.11,31.23,2.10,120.00,2.30
2.47,5.91,-78.85,45.93,2.20,110.90,2.70
2.60,10.94,-117.84,27.08,2.40,120.00,2.20
2.66,-7.96,-105.02,14.50,2.20,48.60,1.90
2.73,-1.37,-75.23,63.43,1.40,120.00,2.10
2.79,0.95,-116.13,21.74,1.80,120.00,1.90
2.91,1.67,-119.76,13.69,2.10,120.00,1.60
2.98,1.29,-63.41,58.20,1.90,120.00,2.40
3.04,5.26,-114.40,22.37,2.10,120.00,2.20
3.10,7.24,-110.27,24.46,2.00,13.30,1.80
3.23,4.46,-86.14,39.43,1.50,120.00,2.60
3.30,5.72,-104.44,20.67,2.00,120.00,1.90
3.36,4.55,-102.11,22.62,2.10,0.00,1.50
3.42,7.48,-106.09,22.46,2.00,120.00,1.40
3.55,4.68,-103.75,24.54,1.80,120.00,1.90
3.61,4.94,-100.13,22.42,1.70,120.00,1.80
3.68,6.54,-100.59,26.89,2.20,120.00,2.40
3.74,5.77,-98.14,25.88,1.90,120.00,2.20
3.87,5.49,-101.56,24.67,2.10,120.00,1.60
3.93,5.01,-101.15,24.98,1.30,2.60,1.90
4.00,2.21,-101.94,16.02,1.80,120.00,2.40
4.06,5.61,-101.40,23.41,1.60,120.00,2.40
4.19,10.45,-103.96,-3.10,2.10,5.40,2.00
4.25,-1.86,-103.55,14.80,2.30,120.00,2.00
4.31,-1.73,-101.15,22.49,3.20,120.00,1.40
4.38,1.53,-101.16,22.14,2.90,120.00,0.80
4.50,6.40,-107.70,25.82,2.50,120.00,2.00
4.57,7.35,-102.88,24.52,2.30,0.00,3.00
4.63,9.75,-98.92,22.17,1.90,120.00,1.00
4.69,11.72,-100.29,28.86,1.20,120.00,0.40
4.82,11.29,-99.68,28.99,1.50,120.00,1.10
4.88,9.38,-105.13,28.60,1.70,120.00,2.80
4.95,4.25,-98.35,25.12,2.00,120.00,1.60
5.01,7.21,-97.16,37.34,1.40,2.20,2.60
5.14,9.92,-99.73,21.81,1.80,120.00,1.10
5.20,-0.35,-102.09,31.48,1.50,120.00,2.20
5.26,-7.23,-105.51,30.87,1.70,120.00,1.80
5.33,6.38,-69.06,54.19,2.10,120.00,2.20
5.45,-0.46,-112.05,29.19,1.50,120.00,2.20
5.52,10.16,-110.41,29.35,2.10,120.00,1.40
5.58,6.97,-105.18,32.64,1.60,120.00,1.70
5.64,6.04,-92.26,39.97,2.40,120.00,2.10
5.77,4.19,-98.10,40.43,1.80,120.00,1.90
5.83,3.22,-97.13,39.06,1.80,120.00,1.90
5.90,7.51,-98.75,34.47,1.50,120.00,2.30
5.96,7.98,-100.98,29.57,1.60,120.00,2.80
6.09,6.50,-97.69,33.89,2.80,120.00,2.10
6.15,5.47,-100.28,31.40,2.70,120.00,1.80
6.22,5.41,-97.39,33.78,1.30,120.00,2.00
6.28,6.73,-100.47,27.74,1.90,120.00,1.60
6.40,6.21,-99.86,27.17,1.70,120.00,1.80
6.47,6.75,-99.74,29.44,1.70,120.00,1.20
6.53,7.93,-101.10,27.76,1.60,120.00,1.60
6.60,4.93,-101.07,28.50,2.20,120.00,1.70
6.72,5.24,-97.56,34.80,2.40,120.00,1.90
6.79,3.91,-99.29,35.18,2.00,120.00,2.00
6.85,2.30,-98.99,31.91,1.30,120.00,2.30
6.91,0.86,-101.69,30.39,1.70,120.00,1.90
7.04,0.05,-96.44,37.55,1.90,120.00,3.30
7.10,0.82,-93.27,42.33,1.30,120.00,2.80
7.17,-1.81,-99.55,31.59,1.80,120.00,2.20
7.23,2.65,-102.31,23.11,2.70,0.00,1.70
7.36,-3.14,-100.73,21.36,2.70,120.00,1.80
7.42,4.08,-99.43,31.59,2.10,120.00,2.10
7.48,4.32,-99.24,31.20,1.70,120.00,2.10
7.61,4.28,-99.16,31.32,1.90,120.00,2.10
7.67,4.15,-99.10,31.37,1.60,120.00,2.20
