# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-74.60,12.70,63.80,7.30,2.50,6.10,0.00,0.00,0.00
0.00,0.00,0.00,-74.60,12.70,63.80,7.50,2.90,6.30,0.00,0.00,0.00
0.27,1.00,0.00,-74.60,12.70,63.80,7.40,2.60,6.60,0.00,0.00,0.00
0.27,0.00,0.00,-72.10,12.40,62.80,7.80,3.00,6.10,0.00,0.00,0.00
0.46,1.00,0.00,-72.20,13.30,64.70,7.60,2.90,6.40,0.00,0.00,0.00
0.46,1.00,0.00,-72.20,13.30,64.70,7.40,2.90,5.60,0.00,0.00,0.00
0.85,0.00,0.00,-72.70,11.10,64.10,7.10,3.20,6.20,0.00,0.00,0.00
0.85,0.00,0.00,-71.80,9.70,61.70,7.00,2.70,5.90,0.00,0.00,0.00
1.03,0.00,0.00,-72.70,10.60,64.70,7.40,2.70,6.10,0.00,0.00,0.00
1.27,0.00,0.00,-72.70,10.60,64.70,7.00,2.70,6.50,0.00,0.00,0.00
1.44,1.00,0.00,-44.10,0.90,-52.90,5.40,27.50,13.20,8.10,9.00,-78.79
1.50,1.00,0.00,-43.50,6.10,-55.30,5.70,120.00,12.20,7.90,8.90,-72.02
1.57,1.00,0.00,-43.50,6.10,-55.30,5.70,120.00,12.90,8.00,9.00,-67.48
1.63,1.00,0.00,-46.60,0.90,-55.50,5.50,120.00,14.10,8.20,9.40,-61.06
1.69,1.00,0.00,-46.60,0.90,-55.50,5.40,43.50,14.10,8.20,9.40,-54.65
1.75,1.00,0.00,-44.70,-0.40,-52.90,6.30,120.00,13.40,8.20,9.20,-47.15
1.82,1.00,0.00,-46.00,-1.00,-53.10,6.10,27.50,14.40,8.10,9.30,-49.85
1.82,1.00,0.00,-43.10,-3.70,-51.30,6.90,22.90,14.30,8.20,9.50,-50.69
1.94,1.00,0.00,-41.10,-2.10,-50.80,8.20,28.50,13.20,7.90,10.00,-59.23
2.02,1.00,0.00,-41.00,-2.20,-51.30,8.50,25.70,13.20,7.10,10.50,-43.15
2.14,1.00,3.00,-42.30,-1.50,-50.20,8.10,24.20,12.90,6.70,10.60,-26.54
2.21,1.00,0.00,-50.10,-3.40,-55.00,7.30,26.00,10.40,6.50,10.50,-2.31
2.30,1.00,0.00,-51.40,-1.60,-57.00,6.40,21.80,10.40,5.40,10.60,-42.47
2.38,1.00,0.00,-53.20,-6.60,-55.90,5.00,21.40,9.90,5.30,11.10,-56.17
2.44,1.00,0.00,-43.80,2.20,-54.60,4.00,120.00,8.90,5.20,11.10,-52.69
2.51,1.00,0.00,-42.90,-2.10,-52.60,4.70,32.70,8.80,5.00,10.80,-56.67
