# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-4.37,1.18,101.86,17.70,15.90,8.30
0.07,-1.97,8.59,100.42,17.80,15.70,8.20
0.19,-4.65,-3.87,102.20,17.50,17.30,8.50
0.26,-4.45,-3.41,101.98,17.80,18.00,8.50
0.39,-4.35,-3.53,102.07,16.90,17.10,7.60
0.45,-4.26,-3.45,101.86,17.00,17.20,7.80
0.51,-4.28,-3.57,101.93,17.60,17.60,8.00
0.58,-4.29,-3.52,101.80,17.40,18.00,8.50
0.71,-4.32,-3.59,101.84,16.30,17.30,8.10
0.77,-4.33,-3.55,102.00,17.30,17.70,8.30
0.83,-4.26,-3.53,101.90,17.20,17.40,8.60
0.90,-4.30,-3.42,101.91,17.00,17.90,7.80
1.02,-4.28,-3.44,101.95,17.20,17.70,8.00
1.09,-4.32,-3.50,101.90,17.70,17.10,7.90
1.15,-4.35,-3.39,101.93,17.00,16.30,8.40
1.22,-4.16,-3.48,101.96,16.40,17.00,8.20
1.34,-4.27,-3.49,101.87,17.50,17.20,8.30
1.41,-4.29,-3.50,101.89,17.40,18.10,8.40
1.47,-4.26,-3.52,101.83,16.80,16.40,8.20
1.53,-4.24,-3.55,101.92,17.80,17.70,8.00
1.66,-4.27,-3.44,102.03,17.70,17.20,7.70
1.73,-4.32,-3.53,101.93,16.70,17.50,8.40
1.79,-4.28,-3.60,101.93,17.20,17.30,7.80
1.85,-4.28,-3.51,101.92,17.40,17.00,8.20
1.98,-4.28,-3.47,101.90,17.80,17.60,8.10
2.04,-4.35,-3.52,101.97,17.10,17.80,7.80
2.10,-4.25,-3.56,101.78,17.60,17.60,8.30
2.17,-4.31,-3.48,102.03,17.40,16.40,8.10
2.29,-4.32,-3.57,102.06,17.70,17.50,8.30
2.36,-4.24,-3.56,101.90,17.10,18.10,7.70
2.42,-4.24,-3.59,102.04,16.80,18.30,7.90
2.48,-4.16,-3.56,102.04,17.60,16.90,8.00
2.61,-4.27,-3.49,101.84,17.60,17.50,7.30
2.68,-4.25,-3.58,101.90,17.40,17.40,8.00
2.74,-4.35,-3.55,101.95,17.20,17.20,8.40
2.80,-4.24,-1.39,101.54,17.20,17.10,8.10
2.93,-5.33,-4.77,101.95,17.80,17.80,8.70
2.99,-5.17,-10.30,102.13,18.30,18.40,8.30
3.05,-6.83,-2.25,102.43,18.70,15.60,7.70
3.12,-4.54,-1.26,102.20,18.30,16.50,5.30
3.24,-6.84,-3.55,102.74,19.30,16.80,4.20
3.31,-5.54,-0.56,102.59,18.30,15.30,2.90
3.37,-10.44,0.59,102.16,20.20,15.60,2.60
3.44,-8.36,0.57,98.88,19.40,16.10,5.80
3.56,-3.01,-2.75,101.55,19.40,14.80,9.10
3.63,-2.88,2.57,102.37,19.20,15.00,10.30
3.69,-6.83,-1.65,102.43,20.20,15.00,9.60
3.76,-7.20,1.56,102.80,19.50,13.70,10.90
3.88,2.97,9.16,99.23,21.60,13.70,13.00
3.95,-9.80,12.05,104.31,21.40,13.00,12.90
4.01,-8.66,-1.56,99.68,21.30,12.70,12.60
4.07,-4.69,3.75,102.12,20.80,14.20,13.10
4.20,-10.38,0.82,101.79,20.70,13.20,13.70
4.27,-1.47,4.65,101.88,21.00,13.80,14.40
4.33,-5.02,3.14,101.57,20.10,13.20,13.80
4.39,-7.82,0.50,101.39,22.00,13.30,14.80
4.52,-3.27,4.77,101.45,23.40,13.20,15.00
4.59,-7.35,5.14,102.05,23.00,12.90,15.70
4.65,-10.56,3.76,100.00,22.00,13.10,15.70
4.71,-1.80,4.51,101.62,22.30,13.10,15.90
4.84,-5.62,3.58,101.69,24.60,12.40,16.30
4.90,-8.62,3.24,101.26,23.40,13.00,17.00
4.97,-4.57,2.93,101.43,24.60,12.90,17.10
5.03,-7.42,7.33,102.14,24.60,12.90,17.20
5.16,-10.21,6.11,101.34,24.10,12.20,16.90
5.22,-3.49,-3.81,101.28,22.60,13.40,16.30
5.29,-8.17,8.34,98.78,23.90,13.20,16.90
5.35,-6.24,5.84,103.16,22.80,13.40,17.50
5.48,-9.25,1.35,102.04,22.50,12.80,16.30
5.54,-9.31,1.81,100.77,23.70,12.80,15.90
5.61,-7.01,5.60,101.38,23.80,12.80,14.20
5.67,-13.39,7.23,101.04,23.40,12.80,12.60
5.80,-6.03,4.03,102.63,22.50,12.60,10.60
5.86,-4.08,6.13,102.69,21.90,12.50,9.50
5.93,-2.93,1.06,102.34,21.80,12.50,8.70
5.99,-6.41,5.62,100.66,20.80,12.30,9.20
6.12,-3.41,6.81,100.06,21.10,11.50,9.10
6.18,-3.62,5.78,100.91,21.00,12.50,8.20
6.24,-5.40,5.62,101.64,21.60,12.40,8.40
6.31,-5.18,5.57,101.39,20.70,11.80,8.50
6.43,-5.27,6.03,101.42,22.60,12.10,8.60
6.50,-5.13,5.34,101.34,20.90,11.80,8.00
6.56,-12.27,-9.77,108.29,20.30,12.40,8.60
6.63,-7.89,-6.51,97.17,23.90,11.10,9.90
6.75,-9.01,11.77,98.21,21.90,9.70,13.10
6.82,-17.56,6.53,87.11,20.00,12.10,9.60
6.88,-2.54,-12.64,98.27,18.40,12.90,7.30
6.95,-0.38,7.68,103.85,17.00,9.40,7.90
7.07,-1.29,10.98,101.99,16.90,12.50,8.20
7.14,5.97,-6.12,101.88,15.30,11.70,8.80
7.20,11.00,0.28,104.82,14.20,13.30,9.30
7.26,5.79,5.30,105.74,14.60,13.80,9.30
7.39,6.61,1.50,99.38,15.10,10.70,10.20
7.46,6.54,-11.69,101.27,14.40,13.60,10.00
7.52,7.34,-2.37,100.98,15.90,12.60,10.30
7.58,6.93,-7.54,105.73,16.40,12.30,9.90
7.71,12.30,5.90,101.41,18.20,12.50,9.70
7.77,3.00,-1.90,105.36,17.70,12.70,8.80
7.84,3.03,-2.26,103.01,16.30,13.80,9.00
7.90,2.33,-1.98,101.50,15.40,14.80,9.00
8.03,0.96,-1.79,103.26,15.10,14.80,8.80
8.09,-0.12,-5.41,102.20,13.30,15.10,8.90
8.16,-2.27,-8.57,104.56,13.60,15.50,8.10
8.22,-1.52,-0.01,102.19,15.10,15.20,8.70
8.35,-0.28,-6.60,104.03,16.10,14.50,8.00
8.41,4.36,-3.91,111.78,16.40,15.10,8.40
8.48,4.04,-1.76,103.47,16.60,15.10,7.80
8.54,1.92,-2.26,101.71,17.20,15.00,7.50
8.67,0.82,-4.73,101.74,16.70,15.10,7.40
8.73,-1.12,-7.72,99.04,15.70,15.40,8.20
8.80,3.28,-1.66,102.51,14.90,16.10,7.80
8.86,-4.86,-6.46,103.70,15.40,15.20,7.30
8.99,-1.67,-6.93,101.61,15.00,15.30,7.60
9.05,1.22,-4.50,102.37,16.40,15.70,7.10
9.11,2.99,-8.95,100.34,15.50,15.40,6.90
9.18,1.69,-6.65,102.70,15.70,15.60,6.70
9.31,0.56,-6.25,103.09,16.00,16.80,7.00
9.37,1.34,-3.23,101.63,17.40,15.40,6.70
9.43,-1.08,-5.15,101.41,16.20,16.10,7.00
9.50,-1.86,-2.58,102.20,16.60,16.50,6.40
9.62,-2.44,-3.85,105.45,18.00,14.80,6.30
9.69,-6.81,-8.42,103.59,17.20,16.10,7.30
9.75,2.04,-10.21,103.45,18.00,17.40,6.90
9.82,-1.22,0.60,104.36,22.60,16.00,6.30
9.94,1.34,-4.88,102.01,21.40,15.50,6.40
10.01,-1.58,-3.69,99.60,20.30,15.00,6.10
10.07,-4.72,-3.62,103.28,19.70,16.90,6.10
10.14,-3.67,-1.44,101.17,19.40,16.50,6.20
10.26,1.21,-2.31,111.13,19.50,16.00,5.60
10.33,-2.68,0.41,105.00,17.70,19.10,5.80
10.39,-8.43,-9.64,109.58,15.80,20.30,5.30
10.45,-4.83,-10.23,97.25,17.00,23.00,5.50
10.58,2.31,-1.33,111.72,24.20,20.70,5.50
10.65,-0.07,8.28,102.83,25.40,19.30,5.10
10.71,4.52,-7.74,104.80,19.80,30.80,4.70
10.77,1.09,-7.60,106.10,17.20,21.50,4.20
10.90,-5.90,-23.69,95.42,15.70,14.10,4.20
10.97,-4.29,-10.99,98.08,22.20,35.00,4.20
11.03,1.25,-7.15,98.65,27.50,32.50,4.30
11.09,1.14,-10.37,108.66,26.10,19.40,4.70
11.22,0.31,-6.68,101.65,23.20,37.30,4.40
11.29,-3.42,-14.92,99.72,17.80,120.00,3.80
11.35,0.47,-12.13,104.94,17.10,27.60,3.70
11.41,-0.74,-10.43,102.69,19.30,120.00,3.40
11.54,-0.22,-5.84,103.36,20.40,120.00,3.50
11.61,-2.23,-10.89,99.01,21.60,120.00,3.50
11.67,3.76,-12.90,101.03,25.80,38.60,3.00
11.73,4.30,-2.48,102.08,28.20,29.70,3.10
11.86,2.61,-8.70,102.31,28.80,35.10,3.50
11.92,2.66,-4.72,102.60,29.10,39.90,3.50
11.99,0.55,-9.66,100.65,28.10,38.80,3.00
12.05,-3.08,-12.46,102.19,28.10,42.70,2.50
12.18,1.87,-4.30,98.13,29.50,30.20,2.90
12.24,2.30,-8.41,102.54,30.30,39.30,3.70
12.31,0.12,-11.25,101.72,30.20,48.30,3.50
12.37,-1.20,-11.10,101.93,30.30,46.10,3.20
12.50,-0.87,-11.05,101.64,30.20,48.60,3.50
12.56,-0.83,-11.07,101.80,30.80,42.10,3.10
12.62,-0.33,-10.87,101.71,30.10,49.60,3.00
12.75,-0.63,-11.07,101.65,31.30,45.70,3.30
12.82,-7.75,-12.01,101.56,30.00,49.20,2.70
12.88,-2.53,-6.07,102.78,30.00,47.10,3.10
12.94,-4.52,-10.16,103.08,29.50,44.30,3.00
13.07,-5.50,-7.02,99.79,29.20,42.80,3.00
13.13,-4.96,-11.33,103.85,28.50,41.60,3.40
13.20,-6.51,-14.70,103.60,27.70,35.90,3.50
13.26,-1.31,-4.08,96.66,27.50,31.60,3.60
13.39,-0.94,-1.91,102.34,26.80,30.70,4.10
13.45,-2.28,-3.68,103.48,27.70,27.20,4.20
13.51,-5.27,-2.11,101.05,28.00,32.60,3.80
13.58,-5.69,-2.85,101.75,27.40,26.40,3.80
13.71,-8.98,-2.12,101.83,27.70,32.30,4.20
13.77,-2.34,-7.43,101.00,27.30,29.40,3.30
13.83,-7.04,-4.82,100.81,27.10,25.60,3.70
13.90,-2.15,-2.12,102.38,26.60,26.70,3.80
14.02,-1.89,-3.87,102.14,26.70,25.10,3.50
14.09,-4.61,-1.56,102.04,26.60,24.90,4.80
14.15,-8.78,0.84,104.16,26.50,19.40,4.20
14.21,-1.05,4.83,102.12,27.00,14.90,4.50
14.34,5.47,5.23,100.87,25.90,7.90,3.90
14.41,-6.17,3.16,102.37,25.90,8.00,4.00
14.47,-4.97,2.40,101.00,26.00,6.90,4.90
14.53,-6.81,2.37,101.39,25.30,5.90,4.80
14.66,-0.14,5.04,100.85,24.90,5.40,4.70
14.73,-0.11,9.87,100.50,25.90,5.10,4.40
14.79,5.16,4.63,106.07,24.60,5.50,4.60
14.85,0.63,4.86,102.07,24.50,5.50,4.70
14.98,-0.92,3.52,101.84,25.00,5.60,4.30
15.04,6.06,6.60,99.98,25.20,5.60,4.40
15.11,-3.08,2.12,102.28,24.50,5.40,4.10
15.17,-0.95,4.71,101.53,24.30,4.90,4.70
15.30,-0.78,4.35,101.54,24.50,5.90,4.90
15.36,-0.78,4.36,101.66,24.80,5.10,4.30
15.43,-0.67,4.27,101.53,24.50,5.70,4.60
15.49,-0.72,4.43,101.60,24.90,5.30,4.20
15.62,-0.78,4.37,101.60,24.70,5.40,4.40
15.68,-0.71,4.30,101.50,24.80,5.50,4.50
15.75,-0.88,4.28,101.67,24.60,5.20,4.40
15.81,-0.82,4.42,101.62,24.70,5.10,4.10
15.94,-0.82,4.38,101.58,25.00,5.40,4.50
16.00,-0.79,4.33,101.70,24.80,5.70,4.60
16.06,-0.70,4.22,101.61,24.70,5.10,4.40
16.13,-0.76,4.38,101.56,25.00,5.30,4.30
16.25,-0.07,4.97,101.55,24.70,5.60,4.40
16.32,-1.27,3.04,101.80,24.70,5.20,4.60
16.38,-1.96,5.88,101.25,25.10,5.40,4.50
16.45,-0.40,2.96,102.54,24.80,5.40,4.60
16.57,-8.42,9.70,98.07,24.10,5.30,4.50
16.64,-0.52,6.49,101.51,24.10,5.60,4.50
16.70,3.50,4.75,99.57,23.20,5.70,5.00
16.77,-1.94,6.57,103.07,23.60,4.50,4.40
16.89,-7.50,9.29,99.41,23.00,6.30,4.60
16.96,-1.93,10.82,98.81,22.30,6.60,5.10
17.02,-3.74,5.18,100.47,22.20,6.90,4.60
17.08,9.20,5.65,100.90,21.10,7.70,5.50
17.21,-1.95,6.40,99.27,21.20,6.90,5.70
17.28,-0.23,2.87,102.72,20.80,7.70,5.80
17.34,1.14,5.44,101.34,21.20,6.80,5.50
17.40,-2.46,4.52,101.42,21.20,7.10,5.40
17.53,-7.57,5.45,102.42,20.70,6.80,5.60
17.60,-2.59,-0.87,97.61,21.10,7.90,5.40
17.66,-4.56,0.18,100.90,19.80,8.50,5.90
17.72,-9.21,3.02,102.28,20.30,8.20,5.80
17.85,-2.17,0.45,103.44,20.30,8.70,5.80
17.92,-4.79,3.16,102.70,19.40,10.00,6.20
17.98,-9.80,0.45,101.71,19.80,8.90,5.90
18.04,-2.84,5.93,103.10,19.80,9.80,5.40
18.17,-2.31,0.02,103.53,18.50,13.80,9.00
18.23,-2.51,3.05,104.05,18.70,15.70,12.00
