6.27,-6.69,101.57,37.40,11.70,13.90,0.00
6.10,-6.74,101.57,37.00,11.60,14.50,0.00
6.35,-6.68,101.60,36.10,12.10,13.90,0.00
6.37,-6.66,101.61,36.00,11.40,14.60,0.00
6.37,-6.70,101.65,36.90,12.20,14.70,0.00
6.31,-6.73,101.67,37.00,12.40,14.40,0.00
6.30,-6.73,101.65,36.40,11.70,14.50,0.00
6.29,-6.77,101.55,36.70,11.50,14.70,0.00
6.32,-6.70,101.65,37.80,11.70,14.10,0.00
6.38,-6.81,101.54,37.00,12.40,14.20,0.00
6.28,-6.68,101.51,37.40,12.20,14.70,0.00
6.27,-6.65,101.57,37.20,11.60,14.40,0.00
6.27,-6.63,101.58,36.20,12.00,14.20,0.00
6.34,-6.66,101.65,36.50,11.80,14.00,0.00
6.29,-6.68,101.56,37.90,11.40,14.50,0.00
6.26,-6.63,101.51,35.70,12.10,14.00,0.00
6.30,-6.65,101.65,37.10,11.80,14.20,0.00
6.18,-6.68,101.68,37.30,11.50,14.10,0.00
6.37,-6.60,101.67,37.30,11.80,13.60,0.00
6.32,-6.72,101.67,36.60,11.60,13.90,0.00
6.30,-6.68,101.54,36.70,11.70,13.90,0.00
6.35,-6.63,101.72,36.70,11.80,14.30,0.00
6.25,-6.72,101.61,36.10,12.00,14.20,0.00
6.19,-6.70,101.61,36.70,11.40,13.70,0.00
6.24,-6.60,101.70,37.30,12.00,14.80,0.00
6.23,-6.62,101.62,36.70,11.50,14.50,0.00
6.34,-6.63,101.65,37.90,11.80,14.60,0.00
6.19,-6.57,101.59,37.70,12.10,14.10,0.00
6.22,-6.69,101.71,37.10,12.20,14.00,0.00
6.23,-6.62,101.64,37.50,12.10,14.40,0.00
6.28,-6.67,101.72,36.80,12.30,14.00,0.00
6.38,-6.63,101.69,36.70,11.60,14.10,0.00
6.23,-6.62,101.64,37.00,12.00,14.20,0.00
6.30,-6.61,101.57,36.80,12.00,13.90,0.00
6.15,-6.59,101.72,37.00,11.80,14.00,0.00
6.30,-6.71,101.61,36.70,11.80,14.60,0.00
6.29,-6.68,101.62,36.40,11.90,14.20,0.00
6.34,-6.60,101.71,36.70,11.20,14.60,0.00
6.21,-6.62,101.69,36.90,11.50,14.90,0.00
6.15,-6.57,101.69,37.50,11.70,13.80,0.00
6.21,-6.60,101.76,36.80,11.90,13.80,0.00
6.18,-6.62,101.65,37.70,11.80,14.30,0.00
6.26,-6.57,101.73,36.20,11.50,14.30,0.00
6.34,-6.57,101.64,36.70,11.80,14.30,0.00
6.19,-6.60,101.73,36.50,11.90,14.50,0.00
6.23,-6.55,101.69,36.60,11.70,14.00,0.00
6.30,-6.54,101.70,37.20,12.20,14.00,0.00
6.27,-6.74,101.77,35.90,11.70,14.50,0.00
6.25,-6.59,101.62,36.90,11.70,14.60,0.00
6.25,-6.62,101.56,38.00,12.00,13.90,0.00
6.22,-6.60,101.65,36.80,12.10,14.30,0.00
6.24,-6.65,101.73,36.80,11.40,14.20,0.00
6.16,-6.55,101.78,36.50,12.20,14.40,0.00
6.22,-6.49,101.67,36.90,11.60,13.80,0.00
6.30,-6.57,101.69,36.70,12.10,14.40,0.00
6.20,-6.59,101.80,36.90,11.70,14.30,0.00
6.25,-6.64,101.61,36.80,11.70,14.00,0.00
6.24,-6.53,101.73,36.80,11.70,14.50,0.00
6.22,-6.61,101.78,37.60,11.80,13.80,0.00
6.21,-6.62,101.64,36.80,11.80,13.80,0.00
6.28,-6.63,101.67,36.30,11.70,14.40,0.00
6.25,-6.61,101.72,36.80,11.10,13.80,0.00
6.24,-6.68,101.70,36.60,11.70,14.80,0.00
6.25,-6.62,101.69,36.20,12.40,14.20,0.00
6.24,-6.60,101.72,35.90,11.90,14.20,0.00
6.15,-6.64,101.62,36.80,12.00,14.10,0.00
6.42,-6.56,101.70,37.10,11.80,14.70,0.00
6.23,-6.55,101.60,36.20,11.50,13.90,0.00
6.27,-6.61,101.63,36.70,11.80,14.70,0.00
6.29,-6.60,101.76,37.30,11.60,14.20,0.00
6.18,-6.57,101.61,37.10,11.30,14.90,0.00
6.34,-6.63,101.70,36.70,12.00,14.60,0.00
6.30,-6.63,101.65,36.20,11.40,14.20,0.00
6.23,-6.68,101.62,36.20,11.80,14.10,0.00
6.21,-6.55,101.67,36.60,11.80,14.60,0.00
6.29,-6.56,101.64,36.90,11.90,14.70,0.00
6.26,-6.54,101.67,37.80,11.30,14.50,0.00
6.32,-6.63,101.64,36.50,11.80,14.90,0.00
6.25,-6.53,101.67,36.70,11.90,14.00,0.00
6.15,-6.51,101.68,37.30,11.90,14.10,0.00
6.16,-6.62,101.65,37.20,12.20,14.20,0.00
6.25,-6.61,101.67,37.60,11.80,14.50,0.00
6.26,-6.63,101.65,37.40,11.80,14.20,0.00
6.21,-6.68,101.67,37.20,11.50,14.40,0.00
6.13,-6.57,101.68,37.10,11.80,14.50,0.00
6.16,-6.57,101.69,36.60,11.70,14.30,0.00
6.28,-6.58,101.64,37.40,11.60,13.60,0.00
6.21,-6.66,101.74,36.60,11.90,14.20,0.00
6.16,-6.54,101.63,38.20,11.80,14.20,0.00
6.32,-6.57,101.67,37.40,12.00,14.20,0.00
6.16,-6.57,101.75,36.60,11.70,14.40,0.00
6.20,-6.59,101.65,36.10,11.40,14.20,0.00
6.30,-6.61,101.71,37.20,11.40,14.00,0.00
6.26,-6.61,101.68,36.90,11.80,14.40,0.00
6.19,-6.49,101.68,36.90,11.80,14.20,0.00
6.24,-6.58,101.72,120.00,11.80,14.30,0.00
