# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-46.20,-32.70,-0.10,5.90,39.70,4.70
0.06,1.00,0.00,-44.60,-29.80,3.10,8.50,27.60,4.80
0.12,1.00,0.00,-46.20,-30.80,2.70,8.90,32.40,4.40
0.19,1.00,0.00,-46.90,-30.80,2.70,9.00,33.50,5.10
0.25,1.00,0.00,-45.30,-32.10,1.80,4.50,120.00,5.00
0.31,1.00,0.00,-38.90,-32.30,0.10,6.10,120.00,4.80
0.38,1.00,0.00,-37.40,-31.50,-0.90,8.50,120.00,4.70
0.44,1.00,0.00,-38.40,-31.80,0.10,9.60,120.00,4.80
0.51,1.00,0.00,-38.40,-29.60,0.90,9.80,120.00,4.40
0.57,1.00,0.00,-38.40,-29.60,0.90,11.60,120.00,4.40
0.63,1.00,0.00,-43.40,-31.80,0.90,8.20,120.00,4.40
0.70,1.00,0.00,-43.40,-31.80,0.90,6.50,120.00,3.90
0.76,1.00,0.00,-41.10,-33.80,-2.70,10.90,120.00,4.50
0.83,1.00,0.00,-36.60,-32.30,0.40,14.90,28.90,4.40
0.89,1.00,0.00,-36.60,-32.30,0.40,16.70,23.20,4.60
0.95,1.00,0.00,-33.50,-27.50,5.40,14.40,23.30,3.80
1.02,1.00,0.00,-30.30,-25.40,4.80,11.20,19.40,4.50
1.08,1.00,0.00,-35.60,-30.80,2.70,8.00,120.00,4.80
1.14,1.00,0.00,-35.60,-30.80,2.70,4.60,120.00,4.10
1.21,1.00,0.00,-45.30,-24.10,11.70,4.40,43.80,5.70
1.27,1.00,0.00,-46.60,-25.40,11.40,5.70,32.50,5.40
1.34,1.00,0.00,-46.60,-27.40,10.00,14.80,23.60,5.00
1.40,1.00,0.00,-48.40,-28.40,5.50,13.90,22.40,4.50
1.46,1.00,0.00,-48.90,-28.10,4.80,14.10,24.00,4.40
1.53,1.00,0.00,-49.30,-29.80,0.30,15.90,23.40,3.90
1.59,1.00,0.00,-46.90,-30.80,1.20,14.00,22.30,4.20
1.65,1.00,0.00,-42.00,-31.70,1.00,15.60,24.90,4.90
1.72,1.00,0.00,-40.20,-30.90,-0.60,15.10,52.20,4.70
1.78,1.00,0.00,-40.20,-30.90,-0.60,12.30,120.00,4.10
1.85,1.00,0.00,-43.50,-32.40,-0.60,11.80,120.00,4.30
1.91,1.00,0.00,-43.40,-33.50,-1.90,8.70,24.90,4.80
1.97,1.00,0.00,-43.40,-33.50,-1.90,11.80,20.70,4.40
2.04,1.00,0.00,-43.10,-30.90,0.60,10.90,23.10,4.40
2.10,1.00,0.00,-41.40,-29.60,6.00,13.20,21.70,4.70
2.17,1.00,0.00,-41.60,-27.10,6.10,12.30,21.80,5.10
2.23,1.00,0.00,-42.60,-28.10,10.00,9.00,21.70,5.00
2.29,1.00,0.00,-45.70,-24.80,13.00,12.60,20.00,6.20
2.36,1.00,0.00,-45.70,-24.80,13.00,12.70,19.40,5.20
2.42,1.00,0.00,-45.90,-26.90,4.50,11.00,24.10,5.20
2.48,1.00,0.00,-46.20,-31.10,1.90,14.90,22.50,4.80
2.55,1.00,0.00,-45.00,-30.60,1.80,15.10,23.40,4.60
2.61,1.00,0.00,-40.40,-31.10,1.90,14.60,120.00,4.60
2.68,1.00,0.00,-37.20,-30.20,-0.30,13.70,120.00,4.50
2.74,1.00,0.00,-38.90,-30.30,2.20,11.80,120.00,4.60
2.80,1.00,0.00,-38.90,-30.30,2.20,9.50,30.90,4.50
2.87,1.00,0.00,-42.60,-28.90,4.80,13.80,21.90,5.50
