# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-18.70,-14.10,-14.80,20.10,18.90,4.10
0.07,1.00,0.00,-18.50,-15.10,-13.90,20.70,18.40,3.70
0.13,1.00,0.00,-19.40,-14.80,-11.70,21.30,18.20,4.40
0.19,1.00,0.00,-15.80,-11.40,-10.90,17.00,18.10,4.00
0.26,1.00,0.00,-14.40,-9.90,-13.80,14.90,18.80,3.70
0.32,1.00,0.00,-13.80,-8.50,-13.90,14.10,18.70,3.40
0.38,1.00,0.00,-16.70,-12.00,-8.50,17.80,16.30,4.60
0.45,1.00,0.00,-16.70,-12.00,-8.50,18.40,16.50,7.70
0.51,1.00,0.00,-20.90,-14.80,-2.50,13.90,17.10,14.10
0.58,1.00,0.00,-17.80,-13.50,-6.00,11.80,16.40,8.00
0.64,1.00,0.00,-15.80,-11.10,-7.60,14.40,15.40,8.30
0.70,1.00,0.00,-15.10,-10.60,-6.40,13.40,14.70,9.40
0.76,1.00,0.00,-15.10,-10.60,-6.40,13.50,14.00,12.80
0.83,1.00,0.00,-13.00,-7.30,-8.10,12.40,14.00,14.90
0.89,1.00,0.00,-10.80,-6.30,-7.30,12.20,14.20,20.70
0.95,1.00,0.00,-11.20,-9.30,-8.80,17.80,13.30,23.50
1.02,1.00,0.00,-14.20,-10.00,-8.10,16.40,12.90,24.50
1.08,1.00,0.00,-12.40,-6.90,-8.70,14.20,13.10,24.40
1.14,1.00,0.00,-11.20,-3.90,-9.30,11.50,11.80,18.20
1.21,1.00,0.00,-11.20,-3.90,-9.30,11.90,12.00,14.30
1.27,1.00,0.00,-10.50,-5.80,-6.70,12.00,11.70,24.50
1.33,1.00,0.00,-10.50,-5.80,-6.70,14.40,11.40,24.70
1.40,1.00,0.00,-13.80,-10.90,-5.50,17.40,11.60,23.10
1.46,1.00,0.00,-12.30,-7.80,-6.70,12.50,11.30,23.80
1.53,1.00,0.00,-10.50,-3.60,-7.30,11.30,11.40,19.60
1.59,1.00,0.00,-9.00,-2.40,-7.00,11.60,11.70,21.50
1.65,1.00,0.00,-9.00,-2.40,-7.00,11.70,10.90,24.70
1.72,1.00,0.00,-15.40,-7.90,-0.60,11.00,11.90,25.70
1.78,1.00,0.00,-15.40,-7.90,-0.60,10.00,11.70,27.30
1.84,1.00,0.00,-19.30,-9.30,-0.10,7.90,13.30,14.80
1.90,0.00,0.00,-18.20,-7.80,-1.20,13.30,14.60,6.00
1.97,1.00,0.00,-18.20,-7.80,-1.20,15.60,16.50,4.40
2.03,1.00,0.00,-22.60,-11.20,-7.00,18.30,18.90,4.80
2.09,1.00,0.00,-20.60,-13.30,-7.60,23.80,20.00,4.20
2.16,1.00,0.00,-20.20,-13.80,-11.70,22.70,18.90,4.40
2.22,1.00,0.00,-20.20,-13.80,-11.70,19.00,17.30,3.50
2.28,1.00,0.00,-17.00,-13.20,-17.60,19.30,18.40,3.20
2.35,1.00,0.00,-19.10,-15.20,-16.70,20.30,18.30,3.70
2.41,1.00,0.00,-19.10,-15.20,-16.70,21.50,18.70,3.90
2.47,1.00,0.00,-21.10,-18.50,-11.10,21.10,20.50,4.40
2.54,1.00,0.00,-20.20,-16.00,-9.00,18.60,19.70,3.70
2.60,1.00,0.00,-19.40,-15.70,-11.70,20.40,19.10,3.80
2.66,1.00,0.00,-16.60,-11.80,-13.50,16.60,18.90,4.00
2.73,1.00,0.00,-16.30,-12.00,-12.10,17.60,18.00,4.70
2.79,1.00,0.00,-19.30,-16.10,-7.30,22.10,18.40,5.10
2.86,1.00,0.00,-19.30,-16.10,-7.30,20.60,18.60,6.10
2.92,1.00,0.00,-19.00,-17.00,-7.30,18.40,17.60,6.20
2.98,1.00,0.00,-17.80,-13.20,-8.50,17.30,17.70,4.90
3.05,1.00,0.00,-17.30,-11.80,-10.90,13.80,16.80,3.70
3.11,1.00,0.00,-13.50,-9.70,-10.30,13.60,16.40,4.40
3.18,1.00,0.00,-17.90,-13.30,-5.80,20.80,16.50,20.40
3.24,1.00,0.00,-17.90,-13.30,-5.80,19.30,16.00,19.70
3.30,1.00,0.00,-14.70,-12.30,-6.10,15.00,14.90,17.50
3.36,1.00,0.00,-14.70,-12.30,-6.10,14.10,14.30,13.90
3.43,1.00,0.00,-12.90,-8.70,-4.30,12.90,14.10,15.20
3.49,1.00,0.00,-13.60,-7.90,-5.40,12.50,13.80,21.30
3.55,1.00,0.00,-12.70,-8.20,-4.50,11.80,13.40,23.30
3.62,1.00,0.00,-14.70,-9.10,-6.10,13.40,13.30,24.10
3.68,1.00,0.00,-14.70,-9.10,-6.10,13.80,13.30,23.20
3.74,1.00,0.00,-17.60,-10.30,-3.90,14.70,13.20,22.80
3.81,1.00,0.00,-13.80,-9.70,-3.00,12.30,12.40,26.20
3.87,1.00,0.00,-12.70,-5.50,-4.20,12.40,11.90,26.20
3.93,1.00,0.00,-10.50,-4.80,-5.20,12.60,12.00,26.40
4.00,1.00,0.00,-16.10,-8.40,-3.90,12.00,12.80,18.80
4.06,1.00,0.00,-19.10,-9.90,-0.30,9.10,13.60,17.00
4.12,1.00,0.00,-19.10,-9.90,-0.30,15.00,15.80,41.00
4.18,1.00,1.00,-22.60,-7.80,6.00,16.20,7.70,40.80
4.25,1.00,1.00,-21.70,-4.90,2.50,22.30,7.70,18.60
4.31,1.00,1.00,-21.70,-4.90,2.50,19.50,8.50,10.10
4.37,0.00,1.00,-22.40,-10.30,3.60,16.10,8.80,9.30
4.44,1.00,1.00,-22.10,-9.10,5.80,16.40,9.10,11.00
4.50,1.00,1.00,-23.30,-8.20,8.10,16.40,6.70,33.10
4.56,1.00,1.00,-23.30,-8.20,8.10,15.70,5.60,35.50
4.62,1.00,1.00,-24.70,-7.20,10.20,15.40,6.80,27.00
4.69,1.00,1.00,-25.00,-6.40,11.70,16.60,7.80,28.80
4.75,1.00,3.00,-25.00,-6.40,11.70,16.80,6.90,33.90
4.81,1.00,3.00,-25.00,-3.00,14.50,14.90,5.50,35.10
4.88,1.00,3.00,-25.00,-6.10,12.00,6.50,12.70,8.50
4.94,1.00,3.00,-25.00,-6.10,12.00,4.90,16.80,4.40
5.00,1.00,0.00,-20.50,-11.20,-1.90,7.40,18.30,3.70
5.07,1.00,0.00,-21.10,-12.70,0.10,5.70,17.90,4.20
5.13,0.00,0.00,-21.80,-14.70,-0.10,4.20,18.70,4.20
5.20,1.00,0.00,-20.80,-15.10,-2.20,8.80,18.70,5.60
5.26,1.00,0.00,-20.80,-16.10,-1.90,10.10,17.70,6.70
5.32,1.00,0.00,-17.80,-11.70,-0.90,10.20,17.10,9.70
